Order ID,Order Date,Customer ID,Customer Name,Segment,Product ID,Product Name,Category,Sub Category,City,State,Region,Quantity,Unit Price,Discount,Cost
ORD-1000,27-11-2024,C007,Ganga Supplies,Retail,P003,Office Chair,Furniture,Seating,Hyderabad,Telangana,South,2,8500,0,5600
ORD-1001,15-03-2024,C006,Fair Mart,Consumer,P002,Wireless Mouse,Electronics,Accessories,Kolkata,West Bengal,East,4,1200,0,700
ORD-1002,03-06-2025,C001,Aarav Traders,Corporate,P004,Standing Desk,Furniture,Desks,Chennai,Tamil Nadu,South,3,18000,10,12500
ORD-1003,04-03-2025,C004,Delta Stores,Retail,P002,Wireless Mouse,Electronics,Accessories,Chennai,Tamil Nadu,South,1,1200,15,700
ORD-1004,10-03-2025,C002,Bright Retail,Retail,P001,Laptop Pro 14,Electronics,Computers,Bangalore,Karnataka,South,4,72000,15,52000
ORD-1005,04-03-2024,C001,Aarav Traders,Corporate,P007,Desk Lamp,Furniture,Lighting,Bangalore,Karnataka,South,5,2200,0,1300
ORD-1006,24-07-2025,C005,Everest Ltd,Corporate,P003,Office Chair,Furniture,Seating,Delhi,Delhi,North,3,8500,0,5600
ORD-1007,07-07-2025,C005,Everest Ltd,Corporate,P002,Wireless Mouse,Electronics,Accessories,Kolkata,West Bengal,East,2,1200,0,700
ORD-1008,15-04-2024,C006,Fair Mart,Consumer,P004,Standing Desk,Furniture,Desks,Chennai,Tamil Nadu,South,4,18000,15,12500
ORD-1009,30-12-2025,C001,Aarav Traders,Corporate,P002,Wireless Mouse,Electronics,Accessories,Kolkata,West Bengal,East,4,1200,0,700
ORD-1010,23-05-2025,C006,Fair Mart,Consumer,P007,Desk Lamp,Furniture,Lighting,Delhi,Delhi,North,4,2200,15,1300
ORD-1011,09-04-2025,C005,Everest Ltd,Corporate,P006,Monitor 27in,Electronics,Displays,Bangalore,Karnataka,South,4,24000,0,17000
ORD-1012,16-12-2025,C002,Bright Retail,Retail,P004,Standing Desk,Furniture,Desks,Kolkata,West Bengal,East,1,18000,5,12500
ORD-1013,21-06-2025,C006,Fair Mart,Consumer,P008,Printer Ink,Stationery,Supplies,Hyderabad,Telangana,South,1,1800,10,1500
ORD-1014,21-10-2024,C002,Bright Retail,Retail,P002,Wireless Mouse,Electronics,Accessories,Kolkata,West Bengal,East,4,1200,10,700
ORD-1015,17-06-2024,C003,Chola Systems,Corporate,P006,Monitor 27in,Electronics,Displays,Delhi,Delhi,North,1,24000,10,17000
ORD-1016,10-02-2024,C006,Fair Mart,Consumer,P002,Wireless Mouse,Electronics,Accessories,Mumbai,Maharashtra,West,5,1200,5,700
ORD-1017,31-08-2025,C008,Horizon Inc,Corporate,P008,Printer Ink,Stationery,Supplies,Chennai,Tamil Nadu,South,4,1800,0,1500
ORD-1018,03-10-2024,C002,Bright Retail,Retail,P008,Printer Ink,Stationery,Supplies,Chennai,Tamil Nadu,South,2,1800,5,1500
ORD-1019,24-10-2025,C005,Everest Ltd,Corporate,P008,Printer Ink,Stationery,Supplies,Hyderabad,Telangana,South,2,1800,10,1500
ORD-1020,15-11-2025,C001,Aarav Traders,Corporate,P006,Monitor 27in,Electronics,Displays,Delhi,Delhi,North,12,24000,5,17000
ORD-1021,21-06-2024,C008,Horizon Inc,Corporate,P002,Wireless Mouse,Electronics,Accessories,Chennai,Tamil Nadu,South,4,1200,0,700
ORD-1022,21-10-2024,C004,Delta Stores,Retail,P003,Office Chair,Furniture,Seating,Delhi,Delhi,North,1,8500,10,5600
ORD-1023,23-05-2025,C003,Chola Systems,Corporate,P002,Wireless Mouse,Electronics,Accessories,Delhi,Delhi,North,5,1200,10,700
ORD-1024,16-07-2025,C003,Chola Systems,Corporate,P005,Notebook Pack,Stationery,Paper,Delhi,Delhi,North,1,350,15,180
ORD-1025,12-10-2024,C006,Fair Mart,Consumer,P007,Desk Lamp,Furniture,Lighting,Hyderabad,Telangana,South,2,2200,10,1300
ORD-1026,24-08-2024,C002,Bright Retail,Retail,P003,Office Chair,Furniture,Seating,Bangalore,Karnataka,South,4,8500,0,5600
ORD-1027,25-08-2024,C001,Aarav Traders,Corporate,P004,Standing Desk,Furniture,Desks,Delhi,Delhi,North,2,18000,15,12500
ORD-1028,05-07-2024,C005,Everest Ltd,Corporate,P005,Notebook Pack,Stationery,Paper,Chennai,Tamil Nadu,South,1,350,0,180
ORD-1029,05-03-2025,C006,Fair Mart,Consumer,P006,Monitor 27in,Electronics,Displays,Bangalore,Karnataka,South,2,24000,15,17000
ORD-1030,24-09-2025,C008,Horizon Inc,Corporate,P001,Laptop Pro 14,Electronics,Computers,Hyderabad,Telangana,South,4,72000,15,52000
ORD-1031,05-02-2025,C007,Ganga Supplies,Retail,P007,Desk Lamp,Furniture,Lighting,Delhi,Delhi,North,5,2200,0,1300
ORD-1032,08-05-2025,C001,Aarav Traders,Corporate,P007,Desk Lamp,Furniture,Lighting,Bangalore,Karnataka,South,3,2200,0,1300
ORD-1033,01-08-2024,C003,Chola Systems,Corporate,P008,Printer Ink,Stationery,Supplies,Chennai,Tamil Nadu,South,1,1800,5,1500
ORD-1034,07-09-2025,C002,Bright Retail,Retail,P001,Laptop Pro 14,Electronics,Computers,Chennai,Tamil Nadu,South,2,72000,15,52000
ORD-1035,03-06-2024,C006,Fair Mart,Consumer,P002,Wireless Mouse,Electronics,Accessories,Kolkata,West Bengal,East,1,1200,0,700
ORD-1036,13-03-2024,C007,Ganga Supplies,Retail,P004,Standing Desk,Furniture,Desks,Bangalore,Karnataka,South,1,18000,5,12500
ORD-1037,21-12-2024,C008,Horizon Inc,Corporate,P006,Monitor 27in,Electronics,Displays,Chennai,Tamil Nadu,South,1,24000,0,17000
ORD-1038,14-05-2025,C008,Horizon Inc,Corporate,P008,Printer Ink,Stationery,Supplies,Delhi,Delhi,North,3,1800,5,1500
ORD-1039,28-03-2024,C002,Bright Retail,Retail,P003,Office Chair,Furniture,Seating,Hyderabad,Telangana,South,4,8500,5,5600
ORD-1040,28-09-2024,C003,Chola Systems,Corporate,P008,Printer Ink,Stationery,Supplies,Kolkata,West Bengal,East,1,1800,0,1500
ORD-1041,29-07-2024,C003,Chola Systems,Corporate,P006,Monitor 27in,Electronics,Displays,Hyderabad,Telangana,South,5,24000,15,17000
ORD-1042,28-01-2024,C002,Bright Retail,Retail,P005,Notebook Pack,Stationery,Paper,Hyderabad,Telangana,South,2,350,5,180
ORD-1043,14-06-2025,C003,Chola Systems,Corporate,P006,Monitor 27in,Electronics,Displays,Mumbai,Maharashtra,West,1,24000,0,17000
ORD-1044,29-06-2025,C004,Delta Stores,Retail,P006,Monitor 27in,Electronics,Displays,Kolkata,West Bengal,East,1,24000,0,17000
ORD-1045,02-09-2024,C004,Delta Stores,Retail,P007,Desk Lamp,Furniture,Lighting,Bangalore,Karnataka,South,2,2200,15,1300
ORD-1046,19-05-2025,C001,Aarav Traders,Corporate,P006,Monitor 27in,Electronics,Displays,Chennai,Tamil Nadu,South,4,24000,5,17000
ORD-1047,28-04-2025,C004,Delta Stores,Retail,P005,Notebook Pack,Stationery,Paper,Hyderabad,Telangana,South,2,350,15,180
ORD-1048,18-12-2024,C006,Fair Mart,Consumer,P008,Printer Ink,Stationery,Supplies,Mumbai,Maharashtra,West,4,1800,0,1500
ORD-1049,13-08-2024,C004,Delta Stores,Retail,P002,Wireless Mouse,Electronics,Accessories,Delhi,Delhi,North,2,1200,0,700
ORD-1050,11-12-2024,C008,Horizon Inc,Corporate,P004,Standing Desk,Furniture,Desks,Kolkata,West Bengal,East,4,18000,15,12500
ORD-1051,02-01-2024,C006,Fair Mart,Consumer,P008,Printer Ink,Stationery,Supplies,Hyderabad,Telangana,South,3,1800,0,1500
ORD-1052,07-11-2025,C007,Ganga Supplies,Retail,P002,Wireless Mouse,Electronics,Accessories,Hyderabad,Telangana,South,8,1200,0,700
ORD-1053,04-05-2025,C007,Ganga Supplies,Retail,P003,Office Chair,Furniture,Seating,Hyderabad,Telangana,South,4,8500,5,5600
ORD-1054,29-03-2024,C008,Horizon Inc,Corporate,P007,Desk Lamp,Furniture,Lighting,Delhi,Delhi,North,1,2200,0,1300
ORD-1055,11-06-2024,C003,Chola Systems,Corporate,P003,Office Chair,Furniture,Seating,Chennai,Tamil Nadu,South,4,8500,0,5600
ORD-1056,27-08-2025,C003,Chola Systems,Corporate,P008,Printer Ink,Stationery,Supplies,Kolkata,West Bengal,East,2,1800,15,1500
ORD-1057,30-04-2025,C003,Chola Systems,Corporate,P006,Monitor 27in,Electronics,Displays,Kolkata,West Bengal,East,3,24000,15,17000
ORD-1058,14-05-2024,C001,Aarav Traders,Corporate,P001,Laptop Pro 14,Electronics,Computers,Hyderabad,Telangana,South,5,72000,0,52000
ORD-1059,23-06-2025,C007,Ganga Supplies,Retail,P003,Office Chair,Furniture,Seating,Bangalore,Karnataka,South,3,8500,0,5600
ORD-1060,29-01-2024,C004,Delta Stores,Retail,P005,Notebook Pack,Stationery,Paper,Mumbai,Maharashtra,West,5,350,15,180
ORD-1061,03-09-2024,C005,Everest Ltd,Corporate,P006,Monitor 27in,Electronics,Displays,Kolkata,West Bengal,East,4,24000,10,17000
ORD-1062,14-05-2024,C006,Fair Mart,Consumer,P001,Laptop Pro 14,Electronics,Computers,Delhi,Delhi,North,2,72000,15,52000
ORD-1063,13-06-2025,C003,Chola Systems,Corporate,P007,Desk Lamp,Furniture,Lighting,Kolkata,West Bengal,East,1,2200,0,1300
ORD-1064,20-06-2025,C008,Horizon Inc,Corporate,P001,Laptop Pro 14,Electronics,Computers,Bangalore,Karnataka,South,4,72000,15,52000
ORD-1065,05-01-2024,C003,Chola Systems,Corporate,P003,Office Chair,Furniture,Seating,Bangalore,Karnataka,South,1,8500,10,5600
ORD-1066,25-09-2025,C001,Aarav Traders,Corporate,P002,Wireless Mouse,Electronics,Accessories,Mumbai,Maharashtra,West,3,1200,15,700
ORD-1067,27-06-2025,C002,Bright Retail,Retail,P008,Printer Ink,Stationery,Supplies,Kolkata,West Bengal,East,2,1800,0,1500
ORD-1068,11-09-2024,C005,Everest Ltd,Corporate,P004,Standing Desk,Furniture,Desks,Chennai,Tamil Nadu,South,3,18000,0,12500
ORD-1069,03-06-2025,C001,Aarav Traders,Corporate,P008,Printer Ink,Stationery,Supplies,Chennai,Tamil Nadu,South,1,1800,10,1500
